median_expr,tcc_label
0.281711072,LUAD
-0.446954931,LUAD
-0.105682396,LUAD
0.067590087,NeuroCarcinoid_Lung
0.955770941,Lung NOS
-0.39915568,LUAD
0.281322572,LUAD
-0.64180476,Lung NOS
1.369608707,LUAD
-0.347746637,LUAD
-0.107308894,LUAD
0.758874709,LUSC
-0.191589593,LUAD
-0.240162048,LUAD
0.227987401,LUAD
0.163057477,LUAD
0.492194063,LUSC
-0.45965085,LUAD
0.26979058,Lung NOS
-0.308499601,LUAD
0.252504987,LUAD
-0.723405698,LUAD
-0.662068274,Large Bowel
0.214623849,LUAD
0.887014905,LUSC
0.201666103,LUAD
-0.058767094,LUAD
0.60755107,LUSC
1.073497765,LUSC
-0.094684732,LUAD
0.071762115,LUAD
-0.260029702,LUAD
0.27951436,LUSC
1.013776839,LUSC
0.205822027,LUAD
-0.045159301,Lung NOS
0.11368985,LUAD
-0.359501871,LUAD
-0.83031976,NeuroCarcinoid_Lung
0.650870884,LUSC
0.892130356,LUSC
0.039976688,Lung NOS
-0.550935686,LUAD
0.751456424,LUSC
0.262060118,LUSC
-0.202864878,LUAD
0.221500724,LUAD
0.078734089,LUAD
-0.619267021,Lung NOS
0.172290264,NeuroCarcinoid_Lung
0.323010706,LUAD
-0.100139988,Lung NOS
0.499690604,LUAD
-0.855641095,NeuroCarcinoid_Lung
-0.280527923,LUAD
0.371443517,LUAD
-0.693272464,LUAD
0.233933828,LUAD
0.149651353,LUAD
-0.004215157,LUAD
-0.224360324,LUSC
0.340814078,LUAD
0.293225447,LUSC
-0.261510349,LUAD
-0.208879477,LUAD
0.315143387,LUSC
-0.628234503,LUAD
0.831622735,LUSC
-0.178726829,LUAD
0.111944503,LUSC
-0.104993113,LUAD
-0.740557373,Lung NOS
0.111525525,LUAD
-0.846261868,NeuroCarcinoid_Lung
-0.239090575,LUSC
-0.00456056,LUAD
-0.523910259,LUAD
0.12022585,LUAD
0.365977441,LUSC
-0.016729533,LUAD
-0.311895144,Lung NOS
-0.443761235,LUAD
-0.419269536,LUAD
0.359904563,LUAD
0.919645309,LUSC
-0.263075091,LUAD
0.162570886,Lung NOS
0.052847932,Lung NOS
1.116408661,LUSC
0.553323261,LUSC
0.098229777,LUSC
-0.433969289,LUAD
0.778372367,LUSC
0.561538556,LUAD
-0.361056698,LUAD
-0.031118803,LUAD
0.727035383,LUSC
-0.199991673,LUAD
-0.045649541,LUAD
0.564603868,LUSC
-0.517222671,LUAD
-0.428355643,LUAD
0.372647861,LUAD
0.742773939,LUSC
0.688325619,LUSC
-0.170113153,LUAD
0.49965934,LUAD
0.311114461,LUSC
0.724696529,Lung NOS
0.595398447,LUSC
1.209708494,LUSC
0.399240016,LUAD
0.21019932,LUAD
-0.1391973,LUAD
0.38461516,Lung NOS
-0.271590398,LUAD
-0.086408684,Lung NOS
1.304134312,LUSC
0.024887977,LUAD
-0.205257443,LUAD
-0.257758668,LUAD
0.185747006,PAM50_LumB
1.064680877,PAM50_Her2
-0.345049535,PAM50_LumA
-0.193572154,PAM50_Her2
0.744493547,PAM50_Basal
0.212467399,PAM50_Basal
-0.504085224,PAM50_Her2
-0.034554002,PAM50_Normal
0.594783024,PAM50_LumB
0.098968017,PAM50_Normal
-0.163237505,PAM50_LumA
-0.400848886,PAM50_Her2
1.245300145,PAM50_Basal
-0.284886563,PAM50_LumB
-0.323260169,PAM50_LumA
0.634256381,PAM50_Basal
-0.631429395,PAM50_Her2
-0.432304614,PAM50_Her2
0.793159047,PAM50_Basal
0.164373449,PAM50_Her2
0.583303111,PAM50_Basal
-0.403537809,PAM50_LumB
0.4995848,PAM50_Basal
0.180712526,PAM50_LumA
0.096364576,PAM50_LumB
-0.343311474,PAM50_LumB
0.195385927,PAM50_Normal
-0.238211279,PAM50_LumA
-0.742339711,PAM50_LumB
-0.052368572,PAM50_Basal
0.850819311,PAM50_Basal
0.841523675,PAM50_Her2
-0.314677957,PAM50_LumB
0.535978272,PAM50_Basal
-0.080817878,PAM50_LumA
0.756670957,PAM50_Basal
-0.160927646,PAM50_Normal
0.403260046,PAM50_Basal
0.301371595,PAM50_Her2
-0.168441265,PAM50_LumB
-0.367821439,Prostate
0.536602436,PAM50_Basal
1.253699259,PAM50_Basal
-0.692839401,PAM50_LumB
0.194137686,LUAD
0.227460467,PAM50_Her2
0.188888319,PAM50_LumB
0.241678904,PAM50_Normal
-0.774212274,PAM50_LumB
-1.087773281,PAM50_LumB
-0.180273396,PAM50_Basal
-0.342936514,PAM50_Her2
0.393639443,PAM50_Her2
-0.156401253,PAM50_LumB
0.831055432,PAM50_Basal
0.784704659,PAM50_Her2
-0.092201714,PAM50_Her2
0.563107939,PAM50_Basal
0.857120438,PAM50_Basal
-0.217141547,PAM50_LumB
0.204909709,LUAD
0.288145105,PAM50_Her2
-0.114135458,PAM50_LumA
0.778287254,PAM50_Basal
0.985911893,LUSC
-0.253391822,LUAD
0.347512361,LUAD
-0.151862505,LUAD
0.941250218,PAM50_Basal
0.339606231,LUAD
-0.561678916,LUAD
-0.024595664,PAM50_LumA
0.103717813,LUSC
